Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001392,Male,Yes,0,Graduate,Yes,6000,3583.0,296.0,360.0,,Semiurban,N
LP002398,Male,No,0,Not Graduate,Yes,2755,1851.0,105.0,300.0,,Rural,Y
LP002226,Male,Yes,0,Graduate,Yes,4310,0.0,100.0,360.0,,Semiurban,Y
LP002444,Male,Yes,0,Graduate,Yes,3948,8333.0,175.0,300.0,,Rural,Y
LP002472,Male,No,2,Graduate,Yes,37719,0.0,600.0,180.0,0.0,Urban,N
LP001195,Male,No,0,Graduate,Yes,9166,0.0,286.0,360.0,1.0,Urban,N
LP001743,Male,No,0,Graduate,Yes,2971,2791.0,144.0,360.0,1.0,Semiurban,Y
LP001640,Male,Yes,1,Graduate,Yes,6400,11300.0,279.0,360.0,0.0,Semiurban,Y
LP001900,Male,Yes,1,Graduate,No,7787,0.0,0.0,360.0,1.0,Semiurban,Y
LP001318,Male,Yes,2,Graduate,Yes,6250,2035.0,230.0,360.0,1.0,Semiurban,Y
LP002587,Male,Yes,0,Graduate,Yes,6133,3906.0,324.0,360.0,1.0,Semiurban,Y
LP002223,Male,Yes,0,Graduate,Yes,2499,1843.0,123.0,360.0,1.0,Semiurban,Y
LP001603,Male,Yes,3+,Not Graduate,No,4344,983.0,124.0,360.0,1.0,Rural,Y
LP001924,Male,Yes,0,Not Graduate,Yes,1800,1875.0,167.0,360.0,1.0,Rural,Y
LP001213,Female,No,0,Graduate,Yes,7200,0.0,115.0,360.0,0.0,Semiurban,N
LP001978,Female,No,0,Graduate,Yes,5000,0.0,103.0,360.0,1.0,Semiurban,N
LP002151,Female,Yes,0,Graduate,Yes,4333,2333.0,140.0,360.0,1.0,Semiurban,Y
LP002224,Male,No,1,Graduate,Yes,9167,4232.0,312.0,36.0,1.0,Rural,N
LP001814,Female,No,0,Graduate,Yes,4124,0.0,122.0,360.0,1.0,Semiurban,Y
LP001370,Male,Yes,0,Not Graduate,Yes,4188,2014.0,110.0,360.0,1.0,Semiurban,Y
LP001581,Male,Yes,0,Not Graduate,Yes,6033,0.0,160.0,360.0,1.0,Rural,Y
LP002205,Male,Yes,2,Not Graduate,Yes,4200,1666.0,129.0,360.0,1.0,Rural,Y
LP002794,Male,Yes,2,Not Graduate,Yes,3273,663.0,130.0,360.0,1.0,Rural,N
LP002892,Male,Yes,2,Graduate,Yes,7583,0.0,187.0,360.0,0.0,Semiurban,N
LP001798,Male,No,0,Not Graduate,Yes,6045,0.0,141.0,360.0,0.0,Rural,N
LP001194,Male,Yes,1,Graduate,No,10513,0.0,244.0,360.0,0.0,Urban,N
LP001824,Male,Yes,1,Graduate,Yes,5500,1843.0,186.0,360.0,1.0,Rural,Y
LP002131,Female,No,1,Graduate,Yes,3062,0.0,71.0,360.0,,Urban,Y
LP001640,Male,Yes,1,Not Graduate,Yes,2600,2500.0,131.0,180.0,1.0,Semiurban,Y
LP002443,Male,Yes,2,Not Graduate,Yes,2309,1255.0,98.0,300.0,,Rural,Y
LP002097,Female,Yes,1,Graduate,Yes,4608,1508.0,158.0,84.0,1.0,Semiurban,Y
LP002493,Female,No,0,Graduate,No,7441,0.0,140.0,360.0,1.0,Rural,Y
LP002443,Male,Yes,0,Graduate,,63337,0.0,490.0,180.0,1.0,Semiurban,Y
LP002493,Male,Yes,0,Graduate,Yes,4625,2157.0,110.0,360.0,1.0,Rural,Y
LP001865,Male,Yes,3+,Graduate,Yes,6406,1811.0,187.0,180.0,1.0,Rural,Y
LP002699,Male,No,0,Graduate,Yes,2500,0.0,98.0,360.0,1.0,Urban,Y
LP002449,Male,Yes,0,Graduate,,3539,2500.0,173.0,360.0,1.0,Semiurban,Y
LP001100,Male,Yes,0,Graduate,Yes,2799,2900.0,115.0,360.0,1.0,Semiurban,Y
LP002229,Male,Yes,0,Not Graduate,Yes,2917,536.0,66.0,360.0,1.0,Rural,N
LP002625,Male,Yes,1,Not Graduate,Yes,5285,1430.0,170.0,360.0,,Semiurban,N
LP001487,Female,No,0,Graduate,Yes,10000,0.0,225.0,360.0,0.0,Urban,N
LP002984,Male,Yes,1,Graduate,Yes,1782,0.0,61.0,360.0,1.0,Urban,Y
LP001978,Male,No,0,Graduate,Yes,4000,0.0,50.0,300.0,1.0,Semiurban,N
LP001581,Male,No,0,Graduate,,2980,0.0,170.0,360.0,1.0,Rural,Y
LP001047,Male,Yes,0,Graduate,,3716,3369.0,173.0,,1.0,Urban,Y
LP001671,Male,Yes,2,Not Graduate,Yes,2600,1911.0,104.0,360.0,1.0,Semiurban,Y
LP002936,Male,No,2,Graduate,Yes,4923,0.0,136.0,360.0,1.0,Semiurban,Y
LP001131,Male,Yes,0,Graduate,Yes,5821,0.0,138.0,360.0,1.0,Urban,Y
LP001086,Male,No,0,Not Graduate,Yes,2000,1302.0,94.0,360.0,1.0,Semiurban,Y
LP002945,Male,Yes,2,Graduate,Yes,3159,2330.0,139.0,360.0,1.0,Urban,Y
LP001144,Female,No,0,Graduate,Yes,4230,0.0,112.0,360.0,1.0,Semiurban,N
LP001560,Male,Yes,0,Graduate,Yes,9323,0.0,187.0,360.0,1.0,Urban,Y
LP002067,Male,Yes,2,Graduate,Yes,5935,1667.0,184.0,360.0,1.0,Rural,N
LP002116,Male,Yes,3+,Not Graduate,Yes,2071,754.0,98.0,360.0,1.0,Rural,N
LP002740,Male,No,0,Graduate,Yes,2435,0.0,75.0,360.0,1.0,Semiurban,Y
LP001157,Female,Yes,1,Graduate,No,19484,4750.0,120.0,360.0,0.0,Urban,N
LP001914,Male,Yes,2,Graduate,Yes,2301,1560.0,113.0,180.0,0.0,Semiurban,N
LP002731,Male,No,0,Not Graduate,Yes,6783,0.0,130.0,360.0,1.0,Rural,N
LP001087,Female,No,0,Graduate,Yes,2137,0.0,70.0,,0.0,Urban,N
LP002086,Male,No,0,Not Graduate,No,2769,0.0,,300.0,1.0,Urban,Y
LP002467,Male,Yes,0,Graduate,Yes,3708,2451.0,173.0,360.0,1.0,Semiurban,Y
LP002556,Male,No,2,Graduate,Yes,4923,0.0,136.0,360.0,1.0,Semiurban,Y
LP002342,Male,Yes,2,Graduate,No,3466,20000.0,176.0,360.0,1.0,Urban,N
LP002757,Male,No,0,Graduate,Yes,5941,0.0,105.0,360.0,1.0,Rural,Y
LP001955,Male,Yes,0,Graduate,Yes,2383,2223.0,134.0,360.0,1.0,Rural,Y
LP001998,Male,Yes,2,Graduate,Yes,5185,1667.0,151.0,360.0,1.0,Rural,Y
LP002959,Female,No,0,Not Graduate,Yes,4408,0.0,120.0,360.0,1.0,Semiurban,Y
LP001732,Male,Yes,0,Graduate,Yes,3707,3166.0,182.0,360.0,1.0,Semiurban,Y
LP001945,Male,Yes,0,Graduate,Yes,2383,2416.0,143.0,360.0,1.0,Rural,Y
LP002531,Female,No,0,Graduate,No,7441,0.0,130.0,360.0,1.0,Urban,Y
LP002036,Male,Yes,1,Not Graduate,Yes,4554,1229.0,158.0,180.0,1.0,Urban,Y
LP002693,Male,Yes,3+,Graduate,No,5677,1774.0,187.0,360.0,1.0,Semiurban,Y
LP001698,Male,No,0,Graduate,Yes,2971,0.0,170.0,360.0,1.0,Semiurban,N
LP001449,Male,Yes,3+,Graduate,Yes,4691,4000.0,0.0,360.0,1.0,Semiurban,Y
LP001836,Male,No,0,Graduate,Yes,3254,4750.0,176.0,360.0,1.0,Urban,Y
LP002180,Male,Yes,3+,Graduate,Yes,3029,0.0,74.0,360.0,1.0,Semiurban,N
LP002116,Female,No,0,Graduate,Yes,2500,0.0,67.0,360.0,1.0,Urban,Y
LP001100,Male,No,3+,Graduate,Yes,3083,1857.0,126.0,360.0,0.0,Semiurban,Y
LP002178,Male,No,0,Graduate,Yes,2833,1783.0,145.0,360.0,1.0,Semiurban,Y
LP002401,Male,Yes,0,Graduate,No,5746,4083.0,184.0,360.0,,Urban,Y
LP002236,Male,Yes,1,Graduate,Yes,8300,240.0,253.0,,0.0,Urban,N
LP002434,Male,No,3+,Not Graduate,Yes,3173,1993.0,120.0,360.0,1.0,Semiurban,Y
LP001754,Male,Yes,0,Graduate,Yes,6250,0.0,160.0,360.0,1.0,Rural,Y
LP002187,Male,Yes,0,Not Graduate,Yes,3000,2168.0,136.0,360.0,1.0,Semiurban,Y
LP002772,Male,No,0,Graduate,Yes,2500,0.0,98.0,360.0,1.0,Rural,Y
LP002738,,Yes,2,Graduate,Yes,9357,1126.0,225.0,300.0,1.0,Semiurban,Y
LP002789,Male,Yes,2,Graduate,Yes,5780,0.0,130.0,360.0,1.0,Urban,Y
LP002911,Male,Yes,1,Graduate,Yes,4283,2845.0,201.0,180.0,,Rural,Y
LP002489,Male,Yes,0,Graduate,Yes,6133,3906.0,330.0,360.0,1.0,Urban,Y
LP001318,Male,Yes,2,Graduate,Yes,3283,5624.0,216.0,360.0,0.0,Semiurban,N
LP002892,Male,Yes,1,Not Graduate,Yes,2600,1500.0,113.0,180.0,0.0,Rural,N
LP001144,Female,No,0,Graduate,Yes,3510,0.0,115.0,360.0,1.0,Semiurban,Y
LP002067,Male,Yes,1,Graduate,No,8666,0.0,138.0,84.0,,Rural,Y
LP001516,Female,No,0,Graduate,Yes,2400,1666.0,104.0,360.0,1.0,Rural,N
LP001350,Male,Yes,0,Graduate,Yes,2130,6666.0,70.0,360.0,1.0,Rural,Y
LP001106,Male,Yes,0,Graduate,Yes,1828,5500.0,216.0,360.0,1.0,Urban,Y
LP002305,Female,Yes,0,Not Graduate,No,18165,1000.0,600.0,360.0,,Semiurban,N
LP001426,Male,Yes,0,Graduate,Yes,6080,2667.0,324.0,360.0,,Rural,N
LP002223,Male,Yes,0,Graduate,Yes,19730,0.0,96.0,360.0,,Urban,Y
LP001883,Female,No,0,Graduate,,2980,1560.0,110.0,360.0,1.0,Urban,Y
LP002527,,No,0,Graduate,Yes,16692,0.0,320.0,360.0,,Semiurban,N
LP001716,Male,Yes,3+,Graduate,Yes,5250,0.0,73.0,360.0,0.0,Semiurban,N
LP001813,Male,Yes,2,Graduate,Yes,6875,1560.0,230.0,360.0,1.0,Semiurban,Y
LP001904,Female,No,0,Not Graduate,Yes,5191,0.0,103.0,360.0,0.0,Urban,N
LP002335,Male,Yes,0,Graduate,Yes,1025,1719.0,90.0,360.0,1.0,Urban,Y
LP001541,Male,No,0,Graduate,,2980,2083.0,126.0,360.0,1.0,Rural,Y
LP001603,Male,Yes,0,Graduate,Yes,2383,3333.0,172.0,360.0,1.0,Urban,Y
LP001225,Male,Yes,1,Graduate,Yes,5649,1425.0,180.0,360.0,1.0,Semiurban,Y
LP001664,Male,No,0,Graduate,Yes,2479,0.0,59.0,480.0,1.0,Semiurban,N
LP002634,Male,Yes,1,Graduate,Yes,6065,2004.0,187.0,360.0,1.0,Semiurban,Y
LP002683,Male,Yes,0,Graduate,Yes,1025,997.0,,360.0,1.0,Urban,Y
LP002409,Female,Yes,0,Graduate,Yes,4333,2451.0,140.0,360.0,1.0,Semiurban,Y
LP001155,Male,Yes,3+,Graduate,Yes,39999,0.0,152.0,180.0,1.0,Urban,Y
LP002229,Male,Yes,0,Graduate,,3333,1376.0,55.0,360.0,,Semiurban,Y
LP002112,Female,No,0,Graduate,Yes,2917,0.0,100.0,360.0,1.0,Semiurban,Y
LP001859,Male,No,0,Graduate,Yes,3254,0.0,71.0,360.0,1.0,Urban,N
LP001974,Male,Yes,1,Graduate,,3716,1250.0,80.0,360.0,1.0,Rural,Y
LP002296,Male,Yes,0,Graduate,,6256,1376.0,230.0,360.0,,Rural,N
LP001846,Male,Yes,3+,Graduate,Yes,2666,2504.0,158.0,360.0,0.0,Urban,N
LP001639,Male,Yes,0,Graduate,Yes,2383,5625.0,216.0,360.0,1.0,Semiurban,Y
LP001164,Male,Yes,2,Graduate,Yes,4616,0.0,84.0,360.0,1.0,Urban,N
LP001578,Male,Yes,0,Not Graduate,Yes,6033,0.0,160.0,360.0,1.0,Rural,Y
LP002236,Male,Yes,0,Graduate,Yes,5829,1417.0,311.0,180.0,1.0,Urban,Y
LP002116,Male,Yes,2,Graduate,No,9323,7873.0,239.0,180.0,1.0,Urban,Y
LP002362,Male,No,0,Not Graduate,Yes,2717,1666.0,190.0,360.0,1.0,Rural,Y
LP001248,Male,Yes,2,Not Graduate,Yes,4931,1430.0,185.0,360.0,1.0,Semiurban,Y
LP002226,Male,Yes,0,Graduate,Yes,2499,1843.0,132.0,360.0,1.0,Semiurban,Y
LP001391,Female,Yes,0,Not Graduate,Yes,4100,0.0,95.0,360.0,,Rural,N
LP001518,Female,No,0,Graduate,Yes,10000,0.0,312.0,360.0,,Semiurban,N
LP001849,Male,No,0,Not Graduate,Yes,6045,0.0,115.0,360.0,1.0,Urban,N
LP001349,Male,No,2,Graduate,Yes,5532,4648.0,120.0,360.0,0.0,Semiurban,Y
LP001922,Male,Yes,0,Graduate,,3716,0.0,42.0,180.0,1.0,Rural,Y
LP001267,Male,Yes,1,Graduate,Yes,10750,0.0,312.0,180.0,1.0,Rural,N
LP002178,Male,Yes,0,Not Graduate,Yes,2917,536.0,66.0,180.0,1.0,Rural,N
LP001005,Male,Yes,0,Graduate,No,9560,0.0,187.0,360.0,1.0,Urban,Y
LP002067,Female,No,1,Graduate,Yes,3541,0.0,95.0,360.0,1.0,Semiurban,Y
LP001357,Male,No,1,Graduate,No,20166,0.0,650.0,360.0,1.0,Semiurban,N
LP001256,Male,No,0,Graduate,No,6050,0.0,175.0,480.0,,Urban,Y
LP002178,Male,No,0,Graduate,Yes,4917,0.0,130.0,360.0,0.0,Urban,Y
LP002115,Male,Yes,3+,Not Graduate,Yes,3173,0.0,99.0,360.0,1.0,Semiurban,Y
LP002502,Male,Yes,3+,Graduate,Yes,4691,0.0,155.0,360.0,1.0,Rural,Y
LP002877,Male,Yes,0,Graduate,Yes,2297,1522.0,104.0,300.0,0.0,Rural,N
LP001870,Female,No,0,Graduate,,2980,0.0,30.0,360.0,1.0,Rural,Y
LP001155,Male,Yes,2,Graduate,Yes,2708,1167.0,97.0,360.0,1.0,Semiurban,Y
LP001904,Female,No,0,Graduate,No,4583,0.0,128.0,360.0,1.0,Semiurban,Y
LP001151,Female,No,0,Graduate,Yes,4166,0.0,112.0,360.0,1.0,Semiurban,Y
LP002862,Male,Yes,2,Graduate,Yes,3417,2330.0,144.0,360.0,1.0,Urban,Y
LP002209,Male,No,1,Graduate,Yes,3062,1793.0,132.0,360.0,1.0,Urban,Y
LP001013,Male,Yes,0,Graduate,Yes,2500,2034.0,95.0,360.0,1.0,Urban,Y
LP002449,Male,Yes,2,Graduate,Yes,3859,0.0,96.0,360.0,1.0,Semiurban,Y
LP002893,Male,Yes,0,Graduate,No,16120,0.0,260.0,360.0,1.0,Urban,Y
LP001743,Male,No,0,Graduate,Yes,2479,1857.0,104.0,360.0,1.0,Rural,Y
LP002757,Male,Yes,3+,Graduate,No,9963,0.0,260.0,360.0,1.0,Rural,N
LP002224,Male,Yes,0,Graduate,Yes,4817,0.0,155.0,360.0,1.0,Semiurban,Y
LP002224,Male,Yes,2,Graduate,Yes,5935,0.0,133.0,84.0,1.0,Rural,Y
LP002272,Female,No,0,Graduate,Yes,3180,0.0,111.0,360.0,0.0,Semiurban,N
LP002916,,Yes,3+,Graduate,Yes,51763,0.0,700.0,300.0,1.0,Rural,Y
LP002209,Male,No,1,Graduate,Yes,37719,0.0,600.0,300.0,1.0,Semiurban,Y
LP002187,Male,Yes,0,Graduate,Yes,2499,1843.0,126.0,360.0,1.0,Semiurban,Y
LP002472,Male,Yes,0,Graduate,Yes,2425,2466.0,90.0,180.0,1.0,Semiurban,Y
LP001900,Male,No,0,Graduate,No,5166,0.0,133.0,360.0,1.0,Rural,Y
LP001940,Female,No,0,Graduate,Yes,5000,0.0,103.0,360.0,1.0,Semiurban,Y
LP002308,Male,Yes,0,Not Graduate,Yes,6096,0.0,218.0,360.0,1.0,Urban,Y
LP002699,Female,Yes,2,Graduate,Yes,14866,0.0,125.0,84.0,1.0,Semiurban,Y
LP001038,Male,Yes,2,Graduate,Yes,4006,8106.0,180.0,360.0,0.0,Semiurban,N
LP002534,Male,No,0,Not Graduate,Yes,6216,0.0,130.0,360.0,1.0,Rural,N
LP002131,Male,Yes,0,Graduate,Yes,6333,3906.0,230.0,360.0,,Semiurban,Y
LP002484,Male,Yes,3+,Graduate,Yes,4342,0.0,100.0,360.0,1.0,Urban,Y
LP001814,Female,No,0,Graduate,Yes,5000,0.0,132.0,,1.0,Semiurban,N
LP001657,Male,Yes,0,Graduate,Yes,9323,0.0,75.0,180.0,1.0,Rural,Y
LP002840,Female,No,0,Graduate,Yes,2378,0.0,46.0,360.0,0.0,Semiurban,N
LP001892,Male,Yes,0,Graduate,Yes,3704,800.0,80.0,180.0,1.0,Rural,Y
LP002175,Male,Yes,2,Not Graduate,Yes,4226,2168.0,133.0,360.0,1.0,Urban,Y
LP001030,Male,No,0,Not Graduate,Yes,3748,0.0,80.0,360.0,1.0,Urban,Y
LP001431,Male,No,0,Graduate,Yes,4895,0.0,102.0,360.0,0.0,Rural,Y
LP002443,Male,Yes,2,Graduate,Yes,7250,0.0,205.0,360.0,1.0,Semiurban,Y
LP001087,Male,No,0,Graduate,Yes,6277,0.0,115.0,180.0,1.0,Urban,Y
LP001636,Male,Yes,1,Not Graduate,Yes,2333,1742.0,102.0,180.0,1.0,Semiurban,Y
LP002842,Male,Yes,2,Graduate,No,9963,0.0,155.0,360.0,1.0,Semiurban,Y
LP001574,Male,Yes,0,Graduate,Yes,7933,0.0,228.0,360.0,1.0,Urban,Y
LP001028,Male,Yes,3+,Graduate,No,5266,1774.0,100.0,360.0,1.0,Semiurban,Y
LP002087,Female,No,1,Graduate,Yes,3062,0.0,71.0,360.0,1.0,Semiurban,Y
LP002181,Male,No,0,Not Graduate,Yes,3358,0.0,110.0,360.0,1.0,Semiurban,Y
LP002043,Female,No,1,Not Graduate,Yes,1830,0.0,70.0,360.0,1.0,Semiurban,Y
LP002004,Male,No,0,Graduate,No,7167,0.0,128.0,360.0,1.0,Semiurban,Y
LP001073,Male,Yes,0,Graduate,No,3459,0.0,25.0,120.0,1.0,Semiurban,Y
LP002223,Male,No,1,Graduate,Yes,4384,1987.0,111.0,360.0,1.0,Rural,Y
LP001316,Male,Yes,2,Graduate,No,7948,3500.0,110.0,360.0,1.0,Semiurban,Y
LP001197,Male,No,0,Graduate,Yes,3600,0.0,100.0,360.0,1.0,Urban,N
LP002478,,Yes,0,Graduate,No,2473,2160.0,122.0,360.0,1.0,Semiurban,Y
LP001473,Male,No,1,Graduate,No,4692,0.0,132.0,360.0,1.0,Rural,N
LP002757,Male,No,0,Graduate,Yes,2935,1783.0,145.0,360.0,1.0,Rural,Y
LP001528,Male,No,0,Graduate,Yes,14999,0.0,242.0,360.0,1.0,Urban,Y
LP002137,Male,Yes,0,Graduate,Yes,9083,0.0,228.0,360.0,1.0,Semiurban,Y
LP001032,Male,Yes,2,Graduate,Yes,3073,8106.0,200.0,360.0,1.0,Urban,Y
LP002841,Male,Yes,1,Graduate,Yes,16666,0.0,260.0,360.0,1.0,Urban,Y
LP001379,Male,,,Not Graduate,Yes,4188,2014.0,129.0,360.0,1.0,Urban,Y
LP001677,Male,Yes,,Not Graduate,No,4344,0.0,138.0,360.0,1.0,Urban,N
LP002229,Male,Yes,2,Graduate,Yes,5185,0.0,130.0,360.0,1.0,Semiurban,Y
LP001195,Male,Yes,0,Graduate,Yes,3366,2336.0,134.0,360.0,1.0,Rural,Y
LP001197,Male,No,0,Graduate,Yes,1800,1929.0,58.0,360.0,1.0,Urban,Y
LP002863,Male,Yes,1,Graduate,Yes,3875,1750.0,116.0,360.0,1.0,Urban,Y
LP002487,Male,No,0,Graduate,Yes,2435,33837.0,90.0,360.0,1.0,Semiurban,Y
LP002643,Male,Yes,0,Not Graduate,Yes,3572,1483.0,114.0,360.0,1.0,Rural,Y
LP001691,Female,Yes,0,Graduate,Yes,10000,0.0,188.0,360.0,1.0,Rural,N
LP001570,Male,Yes,0,Not Graduate,Yes,6033,0.0,160.0,360.0,1.0,Urban,Y
LP002043,Male,Yes,1,Graduate,No,5818,0.0,144.0,84.0,1.0,Rural,N
LP001691,Male,Yes,1,Not Graduate,Yes,2600,1911.0,104.0,360.0,1.0,Semiurban,Y
LP002328,Female,Yes,0,Not Graduate,No,18165,0.0,600.0,360.0,1.0,Rural,N
LP001972,Male,Yes,0,Graduate,Yes,11146,2100.0,136.0,360.0,1.0,Urban,Y
LP002689,Male,No,0,Graduate,Yes,4683,1915.0,,360.0,1.0,Semiurban,Y
LP001439,Female,Yes,0,Graduate,Yes,3692,2336.0,144.0,360.0,1.0,Semiurban,Y
LP001953,Female,No,0,Graduate,Yes,4124,0.0,115.0,360.0,1.0,Semiurban,Y
LP001401,Male,No,0,Graduate,,2929,0.0,71.0,360.0,1.0,Urban,Y
LP002606,Male,Yes,2,Graduate,Yes,8333,3600.0,253.0,180.0,1.0,Semiurban,Y
LP002714,Male,No,0,Graduate,Yes,4680,2087.0,185.0,360.0,1.0,Urban,Y
LP001877,Female,No,0,Graduate,No,7441,0.0,200.0,360.0,,Rural,N
LP001482,Male,Yes,0,Graduate,No,2577,3750.0,160.0,360.0,1.0,Rural,Y
LP001633,Male,Yes,1,Graduate,Yes,6400,0.0,152.0,360.0,1.0,Rural,Y
LP002386,Male,Yes,0,Graduate,Yes,2425,2340.0,143.0,360.0,1.0,Semiurban,Y
LP001657,Male,Yes,0,Graduate,Yes,3173,2138.0,119.0,360.0,1.0,Rural,N
LP002266,Male,Yes,2,Graduate,Yes,3100,484.0,108.0,360.0,1.0,Urban,Y
LP002640,Male,Yes,0,Not Graduate,Yes,4188,0.0,133.0,360.0,1.0,Rural,N
LP002778,Male,Yes,2,Graduate,Yes,5780,0.0,192.0,360.0,1.0,Rural,Y
LP001529,Male,Yes,1,Graduate,Yes,10750,0.0,225.0,180.0,0.0,Semiurban,N
LP002587,Female,Yes,2,Graduate,Yes,1378,2330.0,125.0,360.0,1.0,Urban,N
LP002357,Male,Yes,0,Graduate,Yes,7333,1459.0,110.0,360.0,1.0,Semiurban,Y
LP002877,Male,Yes,2,Graduate,Yes,6540,1750.0,230.0,360.0,1.0,Semiurban,Y
LP001720,Male,Yes,0,Graduate,Yes,6250,0.0,128.0,360.0,1.0,Semiurban,Y
LP001841,Male,Yes,3+,Graduate,Yes,5250,1811.0,186.0,360.0,1.0,Rural,N
LP001197,Male,Yes,0,Graduate,Yes,3366,2200.0,135.0,360.0,1.0,Rural,N
LP001263,Male,No,0,Graduate,Yes,14999,0.0,242.0,360.0,0.0,Urban,N
LP001653,Male,No,0,Not Graduate,Yes,4885,0.0,48.0,360.0,1.0,Rural,Y
LP002098,Male,No,,Graduate,Yes,5124,4232.0,185.0,,0.0,Urban,N
LP001560,Male,Yes,0,Not Graduate,No,4344,0.0,73.0,360.0,1.0,Semiurban,N
LP002739,Female,Yes,0,Not Graduate,Yes,210,2917.0,98.0,360.0,,Semiurban,Y
LP001671,Male,Yes,3+,Not Graduate,Yes,3850,983.0,100.0,360.0,,Semiurban,Y
LP002234,,Yes,0,Graduate,Yes,2083,2167.0,110.0,360.0,1.0,Semiurban,Y
LP001516,Female,Yes,0,Not Graduate,Yes,4100,0.0,111.0,360.0,,Rural,Y
LP002024,Male,No,0,Graduate,Yes,5124,0.0,124.0,360.0,0.0,Rural,N
LP002804,Male,No,0,Graduate,No,7085,0.0,128.0,360.0,1.0,Rural,Y
LP001349,Male,Yes,2,Graduate,Yes,3800,1881.0,116.0,360.0,1.0,Urban,Y
LP001028,Male,Yes,2,Graduate,Yes,4006,1526.0,168.0,360.0,1.0,Urban,Y
