,SK_ID_CURR,TARGET,C_CNT_CHILDREN,C_AMT_INCOME_TOTAL,C_AMT_CREDIT,C_AMT_ANNUITY,C_AMT_GOODS_PRICE,C_OWN_CAR_AGE,C_TOTALAREA_MODE,D_OCCUPATION_TYPE,D_NAME_CONTRACT_TYPE,D_CODE_GENDER,D_FLAG_OWN_CAR,D_FLAG_OWN_REALTY,D_NAME_INCOME_TYPE,D_NAME_EDUCATION_TYPE,D_NAME_FAMILY_STATUS,D_NAME_HOUSING_TYPE,D_FLAG_PHONE,D_WEEKDAY_APPR_PROCESS_START,D_NAME_TYPE_SUITE,D_HOUSETYPE_MODE,D_WALLSMATERIAL_MODE
10,258300,0,0,67500.0,1209541.5,40104.0,990000.0,,,,Cash loans,F,N,Y,Pensioner,Secondary / secondary special,Married,House / apartment,1,WEDNESDAY,Unaccompanied,,
11,307895,0,0,225000.0,239850.0,22423.5,225000.0,,,,Cash loans,M,N,Y,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,THURSDAY,Unaccompanied,,
12,366021,0,0,225000.0,379008.0,38835.0,360000.0,2.0,,,Cash loans,F,Y,Y,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,1,THURSDAY,Unaccompanied,,
13,241632,0,1,81000.0,480060.0,22509.0,337500.0,64.0,0.0704,Drivers,Cash loans,M,Y,Y,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0,SATURDAY,Unaccompanied,block of flats,"Stone, brick"
14,400846,0,0,360000.0,675000.0,35082.0,675000.0,2.0,0.2432,Managers,Cash loans,M,Y,Y,Commercial associate,Higher education,Single / not married,House / apartment,0,FRIDAY,Unaccompanied,block of flats,Monolithic
15,398821,0,0,90000.0,382500.0,37260.0,382500.0,,0.115,Cleaning staff,Cash loans,F,N,Y,Working,Secondary / secondary special,Widow,House / apartment,0,WEDNESDAY,Other_A,block of flats,Panel
16,212338,0,0,315000.0,76500.0,7834.5,76500.0,5.0,,Core staff,Cash loans,M,Y,Y,Commercial associate,Incomplete higher,Married,House / apartment,0,SUNDAY,Unaccompanied,,
17,390417,0,3,99000.0,202500.0,15898.5,202500.0,1.0,0.0693,Sales staff,Cash loans,M,Y,Y,Working,Secondary / secondary special,Married,House / apartment,0,MONDAY,Unaccompanied,block of flats,"Stone, brick"
18,172467,0,0,202500.0,315000.0,18211.5,315000.0,6.0,0.0062,Sales staff,Cash loans,F,Y,Y,Commercial associate,Higher education,Single / not married,House / apartment,1,SATURDAY,Other_B,block of flats,
19,291154,0,0,67500.0,521280.0,21231.0,450000.0,,0.0704,,Cash loans,F,N,Y,Pensioner,Secondary / secondary special,Widow,House / apartment,1,SATURDAY,Unaccompanied,block of flats,Panel
20,426037,0,0,405000.0,779688.0,33034.5,630000.0,10.0,0.0404,,Cash loans,M,Y,Y,Working,Incomplete higher,Widow,House / apartment,0,SATURDAY,Unaccompanied,block of flats,Panel
21,344075,0,0,135000.0,521280.0,31630.5,450000.0,7.0,,,Cash loans,M,Y,Y,Working,Secondary / secondary special,Married,House / apartment,1,FRIDAY,Unaccompanied,,
22,283511,0,0,90000.0,225000.0,12204.0,225000.0,,0.0364,Laborers,Cash loans,M,N,N,Working,Secondary / secondary special,Married,Rented apartment,1,FRIDAY,Unaccompanied,block of flats,"Stone, brick"
23,363804,0,0,211500.0,523152.0,40617.0,463500.0,,,Sales staff,Cash loans,F,N,Y,Working,Secondary / secondary special,Married,House / apartment,0,FRIDAY,Family,,
24,181786,0,1,247500.0,127350.0,13500.0,112500.0,4.0,,Laborers,Cash loans,M,Y,Y,Commercial associate,Secondary / secondary special,Married,House / apartment,0,FRIDAY,Children,,
25,116221,0,0,90000.0,459000.0,16861.5,459000.0,4.0,,Accountants,Cash loans,F,Y,Y,Working,Secondary / secondary special,Married,House / apartment,0,THURSDAY,Unaccompanied,,
26,209688,0,0,90000.0,180000.0,9000.0,180000.0,9.0,,Accountants,Revolving loans,F,Y,N,Working,Secondary / secondary special,Single / not married,House / apartment,0,MONDAY,Unaccompanied,,
27,280796,0,1,180000.0,1255680.0,41629.5,1125000.0,,,,Cash loans,F,N,N,Working,Secondary / secondary special,Married,With parents,0,WEDNESDAY,Unaccompanied,,
28,232890,0,2,81000.0,50940.0,5166.0,45000.0,25.0,,Accountants,Cash loans,F,Y,N,Working,Higher education,Married,House / apartment,0,MONDAY,Unaccompanied,,
29,392170,0,0,112500.0,1300500.0,38155.5,1300500.0,,,Sales staff,Cash loans,F,N,Y,Working,Secondary / secondary special,Married,House / apartment,0,WEDNESDAY,Unaccompanied,,
30,411982,0,0,90000.0,1125000.0,36292.5,1125000.0,,,Managers,Cash loans,F,N,N,Working,Secondary / secondary special,Married,House / apartment,0,MONDAY,Unaccompanied,,
31,414407,0,0,157500.0,382500.0,19125.0,382500.0,,,High skill tech staff,Revolving loans,F,N,Y,Working,Secondary / secondary special,Married,House / apartment,0,THURSDAY,"Spouse, partner",,
32,293660,0,3,184500.0,167121.0,13527.0,139500.0,18.0,0.0082,Drivers,Cash loans,M,Y,Y,Commercial associate,Secondary / secondary special,Married,House / apartment,1,SUNDAY,Unaccompanied,block of flats,Wooden
33,374339,0,0,148050.0,675000.0,46089.0,675000.0,,,,Cash loans,F,N,Y,Pensioner,Secondary / secondary special,Married,House / apartment,1,TUESDAY,Unaccompanied,,
34,226323,0,2,180000.0,604152.0,30978.0,540000.0,,,Managers,Cash loans,M,N,Y,Working,Higher education,Civil marriage,House / apartment,1,SATURDAY,Unaccompanied,,
35,428964,0,0,112500.0,270000.0,13500.0,270000.0,,,Secretaries,Revolving loans,F,N,Y,State servant,Secondary / secondary special,Married,House / apartment,0,MONDAY,Unaccompanied,,
36,421391,0,0,112500.0,382500.0,37390.5,382500.0,,0.1491,,Cash loans,F,N,Y,Pensioner,Secondary / secondary special,Married,House / apartment,0,SATURDAY,Family,block of flats,Panel
37,121891,0,0,180000.0,792162.0,35023.5,630000.0,,,Managers,Cash loans,F,N,Y,Working,Secondary / secondary special,Civil marriage,House / apartment,0,SUNDAY,Family,,
38,370166,0,1,157500.0,990432.0,32863.5,855000.0,,0.0069,Laborers,Cash loans,F,N,N,Commercial associate,Secondary / secondary special,Married,House / apartment,0,TUESDAY,Unaccompanied,block of flats,"Stone, brick"
39,190194,0,1,87750.0,130500.0,12906.0,130500.0,,,,Cash loans,F,N,Y,State servant,Higher education,Married,House / apartment,1,MONDAY,Unaccompanied,,
40,158675,0,2,225000.0,710640.0,80370.0,675000.0,,0.1107,Managers,Cash loans,F,N,N,Commercial associate,Higher education,Single / not married,House / apartment,1,THURSDAY,Unaccompanied,block of flats,"Stone, brick"
41,146563,1,0,180000.0,252000.0,15358.5,252000.0,,,Cooking staff,Cash loans,F,N,Y,Working,Secondary / secondary special,Married,House / apartment,0,TUESDAY,Unaccompanied,,
42,390150,1,1,225000.0,675000.0,33750.0,675000.0,,0.0737,,Revolving loans,F,N,Y,Working,Secondary / secondary special,Married,House / apartment,0,WEDNESDAY,Unaccompanied,block of flats,Panel
43,197727,1,0,450000.0,1546020.0,42511.5,1350000.0,,0.0919,,Cash loans,F,N,Y,Pensioner,Higher education,Married,House / apartment,1,FRIDAY,Unaccompanied,block of flats,Panel
44,454786,0,0,180000.0,787131.0,26145.0,679500.0,,,Sales staff,Cash loans,F,N,Y,Commercial associate,Higher education,Single / not married,House / apartment,0,WEDNESDAY,Unaccompanied,,
45,190358,0,1,391500.0,640080.0,29970.0,450000.0,,0.0454,Drivers,Cash loans,M,N,N,Working,Secondary / secondary special,Married,House / apartment,0,FRIDAY,Unaccompanied,block of flats,"Stone, brick"
46,197194,0,1,270000.0,547344.0,31549.5,472500.0,,0.0674,Core staff,Cash loans,F,N,Y,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0,WEDNESDAY,Unaccompanied,block of flats,"Stone, brick"
47,440510,0,0,81000.0,454500.0,44275.5,454500.0,,,,Cash loans,F,N,N,Working,Secondary / secondary special,Married,House / apartment,0,TUESDAY,Unaccompanied,,
48,330494,0,0,270000.0,2085120.0,72607.5,1800000.0,7.0,0.1868,Managers,Cash loans,M,Y,N,Commercial associate,Higher education,Married,House / apartment,1,FRIDAY,Unaccompanied,block of flats,Panel
49,260114,0,0,180000.0,814041.0,23931.0,679500.0,,,Drivers,Cash loans,M,N,Y,Working,Secondary / secondary special,Married,House / apartment,0,SATURDAY,Unaccompanied,,
50,451638,0,0,121500.0,675000.0,32472.0,675000.0,,0.0069999999999999,,Cash loans,M,N,N,Working,Secondary / secondary special,Married,House / apartment,1,WEDNESDAY,Unaccompanied,block of flats,Others
51,184218,0,0,202500.0,114682.5,13099.5,99000.0,4.0,0.1769,,Cash loans,F,Y,N,Working,Secondary / secondary special,Married,Municipal apartment,0,THURSDAY,Unaccompanied,block of flats,Panel
52,167229,0,0,157500.0,643500.0,18571.5,643500.0,17.0,0.2303,,Cash loans,M,Y,N,Working,Secondary / secondary special,Single / not married,House / apartment,1,THURSDAY,Unaccompanied,block of flats,Panel
53,442029,0,0,121500.0,781920.0,25969.5,675000.0,8.0,0.0589,Security staff,Cash loans,M,Y,Y,Working,Secondary / secondary special,Married,House / apartment,1,MONDAY,Family,block of flats,"Stone, brick"
54,374482,0,0,180000.0,1223010.0,48631.5,1125000.0,64.0,,Managers,Cash loans,F,Y,Y,Commercial associate,Higher education,Widow,House / apartment,0,TUESDAY,Unaccompanied,,
55,245245,0,0,90000.0,545040.0,20677.5,450000.0,,0.2409,,Cash loans,F,N,Y,Pensioner,Higher education,Single / not married,Municipal apartment,1,SATURDAY,Unaccompanied,block of flats,Panel
56,327535,0,0,112500.0,225000.0,24363.0,225000.0,7.0,0.1973,Drivers,Cash loans,M,Y,Y,Working,Incomplete higher,Married,House / apartment,0,TUESDAY,Unaccompanied,block of flats,Panel
57,389999,1,0,148500.0,540000.0,25150.5,540000.0,31.0,0.002,Drivers,Cash loans,M,Y,N,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0,THURSDAY,Unaccompanied,,
58,387498,0,0,157500.0,295168.5,16141.5,238500.0,16.0,0.0123,Laborers,Cash loans,M,Y,Y,Commercial associate,Secondary / secondary special,Married,House / apartment,0,WEDNESDAY,Family,,
59,144524,0,0,67500.0,545040.0,26509.5,450000.0,,0.0505,Sales staff,Cash loans,F,N,Y,Commercial associate,Lower secondary,Civil marriage,House / apartment,1,MONDAY,Unaccompanied,block of flats,Panel
60,316509,0,0,315000.0,640080.0,31261.5,450000.0,11.0,0.1974,Drivers,Cash loans,M,Y,Y,Working,Secondary / secondary special,Married,House / apartment,1,TUESDAY,Unaccompanied,block of flats,"Stone, brick"
61,159276,0,1,162000.0,1288350.0,37800.0,1125000.0,,0.1334,High skill tech staff,Cash loans,M,N,Y,Commercial associate,Higher education,Married,House / apartment,1,THURSDAY,Unaccompanied,block of flats,"Stone, brick"
62,386691,0,0,112500.0,152685.0,7794.0,103500.0,,,Sales staff,Cash loans,F,N,N,Working,Secondary / secondary special,Single / not married,House / apartment,0,WEDNESDAY,Unaccompanied,,
63,101171,0,0,112500.0,508495.5,21541.5,454500.0,,,Sales staff,Cash loans,F,N,N,Working,Secondary / secondary special,Married,House / apartment,1,SUNDAY,Unaccompanied,,
64,365175,0,0,202500.0,1096020.0,56092.5,900000.0,,,,Cash loans,F,N,Y,Working,Secondary / secondary special,Civil marriage,House / apartment,0,TUESDAY,Unaccompanied,,
65,300674,1,1,157500.0,508500.0,40306.5,508500.0,4.0,0.1201,Drivers,Cash loans,M,Y,Y,Working,Secondary / secondary special,Married,House / apartment,0,TUESDAY,Unaccompanied,block of flats,Panel
66,227718,0,0,315000.0,1185282.0,38236.5,1035000.0,3.0,,,Cash loans,F,Y,Y,Pensioner,Secondary / secondary special,Widow,House / apartment,0,WEDNESDAY,Unaccompanied,,
67,309138,1,0,157500.0,760225.5,33615.0,679500.0,,0.0256,,Cash loans,F,N,N,Working,Secondary / secondary special,Married,House / apartment,1,THURSDAY,Unaccompanied,block of flats,"Stone, brick"
68,339146,0,1,270000.0,254700.0,25321.5,225000.0,19.0,,Laborers,Cash loans,M,Y,Y,Working,Secondary / secondary special,Married,Municipal apartment,0,MONDAY,Unaccompanied,,
69,185203,0,0,157500.0,781920.0,25542.0,675000.0,,0.2383,,Cash loans,F,N,N,Pensioner,Secondary / secondary special,Married,House / apartment,0,WEDNESDAY,Children,block of flats,"Stone, brick"
70,277930,0,2,108000.0,148365.0,12024.0,135000.0,8.0,,High skill tech staff,Cash loans,M,Y,Y,Working,Secondary / secondary special,Married,House / apartment,0,MONDAY,Unaccompanied,,
71,207449,0,0,337500.0,450000.0,20979.0,450000.0,,0.0245,Sales staff,Cash loans,F,N,Y,Working,Secondary / secondary special,Civil marriage,House / apartment,1,THURSDAY,Unaccompanied,block of flats,Panel
72,258608,0,1,211500.0,640080.0,24259.5,450000.0,,0.1667,High skill tech staff,Cash loans,F,N,Y,Commercial associate,Secondary / secondary special,Widow,House / apartment,1,TUESDAY,Unaccompanied,block of flats,"Stone, brick"
73,301413,1,0,135000.0,398160.0,31585.5,315000.0,9.0,0.0053,Medicine staff,Cash loans,F,Y,Y,State servant,Secondary / secondary special,Married,House / apartment,0,THURSDAY,Unaccompanied,block of flats,
74,396052,1,0,360000.0,1546020.0,45202.5,1350000.0,7.0,,Managers,Cash loans,F,Y,N,Commercial associate,Secondary / secondary special,Separated,House / apartment,1,MONDAY,Unaccompanied,,
75,384809,0,2,135000.0,544491.0,21226.5,454500.0,,,Cooking staff,Cash loans,F,N,Y,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0,TUESDAY,Unaccompanied,,
76,215787,0,1,173250.0,450000.0,21888.0,450000.0,8.0,0.0033,,Cash loans,M,Y,Y,Commercial associate,Secondary / secondary special,Married,House / apartment,0,SUNDAY,"Spouse, partner",terraced house,"Stone, brick"
77,367741,1,0,157500.0,508495.5,25960.5,454500.0,,,High skill tech staff,Cash loans,M,N,N,Commercial associate,Higher education,Married,House / apartment,0,TUESDAY,Family,,
78,437050,0,0,157500.0,752742.0,40234.5,697500.0,,,Managers,Cash loans,F,N,Y,Commercial associate,Higher education,Separated,House / apartment,1,THURSDAY,Unaccompanied,,
79,122757,0,0,225000.0,656811.0,21703.5,567000.0,7.0,,,Cash loans,M,Y,Y,Commercial associate,Secondary / secondary special,Married,House / apartment,1,SATURDAY,Unaccompanied,,
80,381837,0,0,135000.0,540000.0,17550.0,540000.0,,,,Cash loans,F,N,Y,Working,Secondary / secondary special,Separated,House / apartment,0,TUESDAY,Unaccompanied,,
81,421666,0,0,202500.0,808650.0,26217.0,675000.0,,0.0317,Sales staff,Cash loans,F,N,Y,Working,Secondary / secondary special,Married,House / apartment,0,WEDNESDAY,"Spouse, partner",block of flats,"Stone, brick"
82,236246,0,0,270000.0,314100.0,13963.5,225000.0,10.0,,,Cash loans,M,Y,N,Working,Secondary / secondary special,Married,With parents,0,WEDNESDAY,Unaccompanied,,
83,354236,0,0,225000.0,675000.0,32602.5,675000.0,,,Medicine staff,Cash loans,F,N,Y,State servant,Secondary / secondary special,Widow,House / apartment,0,TUESDAY,Unaccompanied,,
84,397159,0,0,76500.0,222547.5,17352.0,202500.0,,,Sales staff,Cash loans,F,N,Y,Working,Higher education,Married,House / apartment,1,TUESDAY,Unaccompanied,,
85,156739,0,2,216000.0,1575000.0,45270.0,1575000.0,2.0,0.0227,Drivers,Cash loans,M,Y,N,Working,Higher education,Married,House / apartment,0,WEDNESDAY,Unaccompanied,block of flats,"Stone, brick"
86,391719,0,0,112500.0,810000.0,26127.0,810000.0,,0.4047,Core staff,Cash loans,F,N,N,Working,Higher education,Married,House / apartment,0,FRIDAY,Family,block of flats,"Stone, brick"
87,253615,0,2,67500.0,195543.0,14359.5,148500.0,,0.1364,Laborers,Cash loans,M,N,Y,Commercial associate,Secondary / secondary special,Married,House / apartment,0,MONDAY,Unaccompanied,block of flats,Panel
88,240128,0,0,247500.0,574785.0,34861.5,436500.0,,0.0641,Drivers,Cash loans,M,N,N,Working,Secondary / secondary special,Single / not married,House / apartment,0,MONDAY,Unaccompanied,,Panel
89,213753,0,0,202500.0,260640.0,30928.5,225000.0,,0.0884,Managers,Cash loans,M,N,Y,Working,Higher education,Married,House / apartment,0,FRIDAY,Unaccompanied,block of flats,"Stone, brick"
90,367909,0,0,171000.0,360000.0,35734.5,360000.0,2.0,0.2707,,Cash loans,F,Y,Y,Pensioner,Higher education,Married,House / apartment,1,TUESDAY,Other_B,block of flats,Panel
91,150692,0,0,90000.0,153000.0,12397.5,153000.0,,,Laborers,Cash loans,M,N,Y,Commercial associate,Secondary / secondary special,Separated,House / apartment,0,THURSDAY,Unaccompanied,,
92,244831,0,0,99000.0,163008.0,18522.0,144000.0,,0.1048,Sales staff,Cash loans,F,N,N,Working,Secondary / secondary special,Married,House / apartment,0,THURSDAY,Unaccompanied,,
93,189671,0,0,202500.0,526491.0,26878.5,454500.0,15.0,,Security staff,Cash loans,M,Y,Y,Commercial associate,Secondary / secondary special,Married,House / apartment,0,WEDNESDAY,"Spouse, partner",,
94,416573,0,0,202500.0,948816.0,27873.0,792000.0,,0.0898,Managers,Cash loans,F,N,Y,Working,Secondary / secondary special,Widow,House / apartment,0,THURSDAY,Unaccompanied,block of flats,Panel
95,150732,0,0,81000.0,202500.0,10125.0,202500.0,,,Sales staff,Revolving loans,F,N,Y,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0,TUESDAY,Unaccompanied,,
96,143224,0,0,117000.0,381528.0,13702.5,315000.0,,,,Cash loans,F,N,N,Pensioner,Secondary / secondary special,Married,House / apartment,1,SATURDAY,Unaccompanied,,
97,403532,0,0,153000.0,508495.5,20295.0,454500.0,3.0,,Accountants,Cash loans,F,Y,Y,State servant,Secondary / secondary special,Married,House / apartment,0,FRIDAY,Unaccompanied,,
98,242687,0,1,81000.0,182016.0,10579.5,144000.0,,,Laborers,Cash loans,F,N,Y,Working,Secondary / secondary special,Married,House / apartment,0,TUESDAY,Unaccompanied,,
99,427434,1,0,135000.0,509400.0,40374.0,450000.0,,0.0484,Laborers,Cash loans,F,N,N,Working,Higher education,Married,House / apartment,1,SATURDAY,Unaccompanied,block of flats,"Stone, brick"
100,131350,1,0,108000.0,814041.0,23800.5,679500.0,,0.0083,,Cash loans,F,N,Y,Pensioner,Secondary / secondary special,Married,House / apartment,0,WEDNESDAY,Unaccompanied,block of flats,"Stone, brick"
101,308529,0,0,90000.0,270000.0,13261.5,270000.0,7.0,,,Cash loans,F,Y,Y,Working,Secondary / secondary special,Married,House / apartment,0,TUESDAY,Unaccompanied,,
102,425981,0,0,135000.0,630000.0,30307.5,630000.0,,0.0218,,Cash loans,F,N,Y,Pensioner,Secondary / secondary special,Widow,House / apartment,0,THURSDAY,Unaccompanied,block of flats,"Stone, brick"
103,270175,0,0,126000.0,518562.0,38083.5,463500.0,,,,Cash loans,F,N,Y,Working,Secondary / secondary special,Civil marriage,House / apartment,0,TUESDAY,Unaccompanied,,
104,321442,0,1,225000.0,308461.5,20745.0,279000.0,2.0,,Realty agents,Cash loans,F,Y,Y,Working,Higher education,Married,With parents,0,TUESDAY,Unaccompanied,,
105,374542,0,0,112500.0,270000.0,13500.0,270000.0,64.0,,Drivers,Revolving loans,M,Y,Y,Commercial associate,Higher education,Single / not married,House / apartment,0,WEDNESDAY,Unaccompanied,,
106,280111,0,0,135000.0,327024.0,12456.0,270000.0,,0.0066,,Cash loans,F,N,Y,Pensioner,Secondary / secondary special,Widow,House / apartment,0,SUNDAY,Unaccompanied,block of flats,Wooden
107,156112,1,1,247500.0,1237554.0,43974.0,886500.0,64.0,0.0058,,Cash loans,F,Y,N,Working,Higher education,Single / not married,With parents,0,FRIDAY,Unaccompanied,block of flats,"Stone, brick"
108,218719,1,0,175500.0,490536.0,22995.0,405000.0,,,Security staff,Cash loans,M,N,Y,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0,TUESDAY,Unaccompanied,,
109,189756,0,0,270000.0,1354500.0,37377.0,1354500.0,,,,Cash loans,F,N,Y,Pensioner,Secondary / secondary special,Married,House / apartment,0,WEDNESDAY,"Spouse, partner",,
110,138746,0,0,90000.0,647046.0,21001.5,463500.0,,,Security staff,Cash loans,M,N,Y,Working,Secondary / secondary special,Married,House / apartment,0,TUESDAY,Unaccompanied,,
111,313317,0,0,157500.0,285453.0,14701.5,193500.0,,0.0077,Drivers,Cash loans,F,N,Y,Commercial associate,Secondary / secondary special,Separated,House / apartment,0,WEDNESDAY,Unaccompanied,block of flats,"Stone, brick"
112,128718,0,0,405000.0,1256400.0,36864.0,900000.0,10.0,,Managers,Cash loans,M,Y,Y,Commercial associate,Higher education,Married,House / apartment,0,MONDAY,Unaccompanied,,
113,370841,0,0,45450.0,86598.0,9220.5,76500.0,,,,Cash loans,F,N,Y,Pensioner,Secondary / secondary special,Widow,House / apartment,0,TUESDAY,Unaccompanied,,
114,308201,0,1,90000.0,754740.0,24475.5,630000.0,,,Sales staff,Cash loans,F,N,Y,Working,Secondary / secondary special,Married,House / apartment,1,SATURDAY,Unaccompanied,,
115,268111,1,1,81000.0,126675.0,15030.0,103500.0,,0.0749,Laborers,Cash loans,F,N,Y,Working,Secondary / secondary special,Married,House / apartment,1,WEDNESDAY,Unaccompanied,block of flats,Panel
116,321685,0,0,225000.0,1575000.0,43443.0,1575000.0,20.0,0.0274,Laborers,Cash loans,M,Y,Y,Working,Secondary / secondary special,Married,House / apartment,0,FRIDAY,Unaccompanied,block of flats,"Stone, brick"
117,180342,0,0,54000.0,157500.0,9765.0,157500.0,,0.0121,,Cash loans,F,N,Y,Pensioner,Secondary / secondary special,Widow,House / apartment,1,MONDAY,Unaccompanied,block of flats,"Stone, brick"
118,266625,0,1,238500.0,585000.0,22666.5,585000.0,,0.0911,Drivers,Cash loans,M,N,Y,Commercial associate,Secondary / secondary special,Married,House / apartment,0,MONDAY,Unaccompanied,block of flats,Panel
119,172378,0,0,112500.0,754740.0,19908.0,630000.0,,0.0468,High skill tech staff,Cash loans,F,N,Y,Working,Secondary / secondary special,Separated,House / apartment,1,THURSDAY,Unaccompanied,block of flats,Panel
120,453689,0,1,180000.0,1515415.5,44437.5,1354500.0,,0.0733,,Cash loans,M,N,Y,Pensioner,Secondary / secondary special,Married,House / apartment,0,WEDNESDAY,Unaccompanied,block of flats,Panel
121,314054,0,0,472500.0,1024785.0,57352.5,922500.0,,0.0072,Laborers,Cash loans,F,N,N,Commercial associate,Secondary / secondary special,Married,House / apartment,0,THURSDAY,Unaccompanied,block of flats,Wooden
122,104068,0,0,90000.0,450000.0,25128.0,450000.0,,,Core staff,Cash loans,F,N,N,Working,Higher education,Married,House / apartment,0,FRIDAY,Unaccompanied,,
123,372482,0,2,135000.0,801000.0,31896.0,801000.0,,0.1377,Security staff,Cash loans,M,N,Y,Working,Secondary / secondary special,Married,House / apartment,0,WEDNESDAY,Unaccompanied,block of flats,Panel
124,408967,0,0,67500.0,285453.0,14701.5,193500.0,,,,Cash loans,F,N,Y,Pensioner,Lower secondary,Married,House / apartment,0,THURSDAY,Family,,
125,359180,0,1,135000.0,675000.0,21775.5,675000.0,,0.0449,Sales staff,Cash loans,F,N,N,Working,Secondary / secondary special,Married,House / apartment,1,WEDNESDAY,Unaccompanied,block of flats,Panel
126,342048,0,1,292500.0,539100.0,27652.5,450000.0,2.0,0.1578,Accountants,Cash loans,F,Y,Y,Commercial associate,Higher education,Married,House / apartment,0,MONDAY,Unaccompanied,block of flats,Panel
127,380770,0,0,112500.0,832500.0,24471.0,832500.0,,0.1349,Sales staff,Cash loans,F,N,Y,Working,Secondary / secondary special,Married,House / apartment,1,THURSDAY,Unaccompanied,block of flats,Panel
128,278047,0,0,162000.0,119925.0,11227.5,112500.0,,0.0486,,Cash loans,M,N,N,Pensioner,Secondary / secondary special,Married,House / apartment,0,THURSDAY,Unaccompanied,block of flats,Panel
129,127911,1,1,157500.0,545040.0,26640.0,450000.0,19.0,,Drivers,Cash loans,M,Y,Y,Working,Secondary / secondary special,Married,House / apartment,0,WEDNESDAY,Unaccompanied,,
130,326630,0,0,121500.0,673875.0,31356.0,544500.0,15.0,,Laborers,Cash loans,M,Y,Y,Working,Secondary / secondary special,Separated,House / apartment,0,FRIDAY,Unaccompanied,,
131,375688,0,0,90000.0,888840.0,32053.5,675000.0,,,,Cash loans,F,N,N,Pensioner,Secondary / secondary special,Widow,House / apartment,1,SUNDAY,Unaccompanied,,
132,345659,0,0,112500.0,506232.0,13918.5,400500.0,10.0,0.1471,,Cash loans,F,Y,N,Working,Higher education,Single / not married,With parents,0,SUNDAY,Unaccompanied,block of flats,"Stone, brick"
133,245572,0,0,450000.0,1237684.5,49216.5,1138500.0,,0.1157,Private service staff,Cash loans,F,N,Y,Working,Secondary / secondary special,Married,House / apartment,0,THURSDAY,Unaccompanied,terraced house,"Stone, brick"
134,450472,0,0,126000.0,760131.0,24651.0,634500.0,,0.168,Laborers,Cash loans,M,N,Y,Working,Lower secondary,Single / not married,With parents,0,WEDNESDAY,Unaccompanied,block of flats,"Stone, brick"
